Gss year for this respondent                       ,Respondent income in constant dollars,Family income in constant dollars,Those in need have to take care of themselves,R has given money to a charity,R done volunteer work for a charity,Others misfortunes do not disturb r,R feels protective towards people taken advantage,R does not feel very sorry for people having pro,R have tender feeling for people less fortunate,Highest year of school completed,Age of respondent,Marital status,Respondent id number,Ballot used for interview
2002,15809,43779,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,47,Married,1082,Ballot c
2002,0,0,Strongly agree,Once a month,Once a week,4,4,4,Describes very well,14,20,Never married,1083,Ballot a
2002,53507,53507,Strongly agree,Once a month,Once a month,2,3,3,4,14,29,Married,1084,Ballot b
2002,0,65668,Neither agree nor disagree,Once in the past year,Once in the past year,Does not describe very well,4,Does not describe very well,4,13,52,Married,1085,Ballot c
2002,13377,31618,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,64,Divorced,1086,Ballot b
2002,43779,80261,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,47,Married,1087,Ballot c
2002,0,0,Agree,Not at all in the past year,At least 2 or 3 times in the past year,3,4,4,3,18,66,Married,1088,Ballot a
2002,0,0,Strongly disagree,Once a week,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,16,54,Married,1089,Ballot b
2002,0,0,Agree,At least 2 or 3 times in the past year,Not at all in the past year,2,Describes very well,4,3,16,73,Married,1090,Ballot c
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,33,Married,1091,Ballot a
2002,53507,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,48,Married,1092,Ballot b
2002,0,31618,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8,25,Married,1093,Ballot c
2002,53507,97286,Strongly agree,At least 2 or 3 times in the past year,Not at all in the past year,4,4,Describes very well,4,12,58,Married,1094,Ballot a
2002,0,31618,Disagree,Not at all in the past year,Not at all in the past year,2,2,2,3,12,88,Married,1095,Ballot b
2002,0,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,62,Married,1096,Ballot a
2002,0,7296,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,71,Married,1097,Ballot b
2002,0,43779,Agree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,3,4,3,4,16,78,Married,1098,Ballot c
2002,0,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,37,Married,1099,Ballot a
2002,0,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,57,Married,1100,Ballot b
2002,10945,43779,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,52,Married,1101,Ballot c
2002,0,26754,Neither agree nor disagree,Not at all in the past year,Not at all in the past year,Describes very well,3,Does not describe very well,Describes very well,10,82,Widowed,1102,Ballot a
2002,0,486,Neither agree nor disagree,Not at all in the past year,Once in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,14,37,Divorced,1103,Ballot b
2002,8756,8756,Agree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,12,23,Never married,1104,Ballot c
2002,486,18241,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,35,Never married,1105,Ballot a
2002,0,486,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,31,Divorced,1106,Ballot b
2002,0,20673,Agree,Once a month,Not at all in the past year,Does not describe very well,4,4,4,15,75,Widowed,1107,Ballot c
2002,0,15809,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,86,Married,1108,Ballot a
2002,8756,20673,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,70,Divorced,1109,Ballot b
2002,80261,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,58,Divorced,1110,Ballot c
2002,10945,10945,Strongly disagree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,15,59,Divorced,1111,Ballot a
2002,20673,20673,Neither agree nor disagree,Once in the past year,Not at all in the past year,Does not describe very well,4,Does not describe very well,Describes very well,12,56,Never married,1112,Ballot b
2002,23105,23105,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,41,Divorced,1113,Ballot b
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,46,Married,1114,Ballot b
2002,0,5351,Strongly agree,Once a month,Not at all in the past year,2,Describes very well,Describes very well,Describes very well,8,83,Widowed,1115,Ballot a
2002,10945,10945,Strongly agree,Once in the past year,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,4,Describes very well,12,49,Divorced,1116,Ballot a
2002,1946,1946,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,20,Never married,1117,Ballot a
2002,53507,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,39,Never married,1118,Ballot b
2002,31618,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,28,Married,1119,Ballot c
2002,10945,0,Strongly disagree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,12,72,Divorced,1120,Ballot a
2002,0,36482,Agree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,13,24,Married,1121,Ballot b
2002,13377,13377,Neither agree nor disagree,Not at all in the past year,Not at all in the past year,Does not describe very well,3,Does not describe very well,Describes very well,11,20,Never married,1122,Ballot c
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8,58,Never married,1123,Ballot a
2002,0,1946,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,80,Married,1124,Ballot b
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,54,Never married,1125,Ballot c
2002,8756,13377,Strongly agree,Not at all in the past year,Not at all in the past year,3,Does not describe very well,Does not describe very well,4,12,50,Never married,1126,Ballot a
2002,43779,43779,Agree,Not at all in the past year,Not at all in the past year,Does not describe very well,Does not describe very well,Does not describe very well,3,16,35,Married,1127,Ballot c
2002,18241,80261,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,59,Married,1128,Ballot a
2002,1946,23105,Disagree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,3,4,11,19,Never married,1129,Ballot a
2002,23105,97286,Disagree,Once a week,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,13,50,Married,1130,Ballot b
2002,65668,97286,Agree,Once a month,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,18,47,Married,1131,Ballot c
2002,18241,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,58,Married,1132,Ballot c
2002,0,23105,Neither agree nor disagree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,12,70,Married,1133,Ballot c
2002,235707,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,58,Married,1134,Ballot a
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No answer,No answer,Married,1135,Ballot c
2002,13377,23105,Strongly agree,Not at all in the past year,Not at all in the past year,Does not describe very well,Does not describe very well,3,3,12,37,Married,1136,Ballot a
2002,0,1946,Disagree,Not at all in the past year,Not at all in the past year,2,Describes very well,3,Describes very well,12,39,Married,1137,Ballot b
2002,0,20673,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,37,Married,1138,Ballot a
2002,0,486,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8,71,Married,1139,Ballot b
2002,13377,31618,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,25,Married,1140,Ballot c
2002,20673,20673,Strongly agree,Not at all in the past year,Not at all in the past year,4,2,4,Does not describe very well,12,56,Divorced,1141,Ballot a
2002,6324,26754,Agree,Once a month,Once in the past year,2,Describes very well,2,Describes very well,12,53,Married,1142,Ballot c
2002,43779,43779,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,39,Never married,1143,Ballot c
2002,1946,4378,Neither agree nor disagree,Not at all in the past year,Not at all in the past year,3,3,3,3,12,37,Never married,1144,Ballot b
2002,65668,65668,Strongly agree,Once in the past year,Not at all in the past year,3,Describes very well,3,3,14,58,Widowed,1145,Ballot c
2002,36482,36482,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,61,Widowed,1146,Ballot b
2002,36482,43779,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,37,Never married,1147,Ballot c
2002,0,26754,Agree,Once in the past year,Once in the past year,Does not describe very well,4,Describes very well,Describes very well,16,24,Never married,1148,Ballot a
2002,6324,13377,Neither agree nor disagree,Not at all in the past year,Not at all in the past year,3,4,4,4,10,33,Never married,1149,Ballot b
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,23,Never married,1150,Ballot c
2002,13377,13377,Neither agree nor disagree,Not at all in the past year,Not at all in the past year,4,4,3,4,14,20,Never married,1151,Ballot a
2002,53507,53507,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8,41,Married,1152,Ballot a
2002,0,36482,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,25,Never married,1153,Ballot c
2002,0,43779,Agree,Not at all in the past year,Not at all in the past year,3,4,4,4,13,30,Married,1154,Ballot a
2002,0,15809,Neither agree nor disagree,Once in the past year,At least 2 or 3 times in the past year,3,Describes very well,Describes very well,Describes very well,12,70,Never married,1155,Ballot c
2002,15809,15809,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,42,Never married,1156,Ballot b
2002,36482,36482,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,40,Divorced,1157,Ballot c
2002,65668,80261,Agree,At least 2 or 3 times in the past year,Not at all in the past year,4,3,2,3,12,50,Married,1158,Ballot c
2002,0,31618,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,76,Married,1159,Ballot a
2002,8756,20673,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,74,Widowed,1160,Ballot c
2002,0,31618,Neither agree nor disagree,Once a week,Once a week,2,4,3,4,19,67,Widowed,1161,Ballot a
2002,65668,65668,Neither agree nor disagree,Not at all in the past year,At least 2 or 3 times in the past year,3,Describes very well,3,Does not describe very well,9,33,Married,1162,Ballot b
2002,0,15809,Strongly disagree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,4,Does not describe very well,Does not describe very well,Describes very well,12,78,Widowed,1163,Ballot c
2002,0,18241,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,79,Married,1164,Ballot b
2002,18241,18241,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,70,Widowed,1165,Ballot c
2002,26754,31618,Agree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,Describes very well,3,Describes very well,12,46,Never married,1166,Ballot a
2002,0,26754,Strongly disagree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,12,56,Widowed,1167,Ballot b
2002,0,23105,Strongly agree,At least 2 or 3 times in the past year,Not at all in the past year,2,Does not describe very well,Does not describe very well,3,12,87,Married,1168,Ballot c
2002,0,26754,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,77,Widowed,1169,Ballot a
2002,65668,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,47,Never married,1170,Ballot b
2002,10945,160197,Disagree,At least 2 or 3 times in the past year,Once a month,Does not describe very well,Describes very well,2,3,16,35,Married,1171,Ballot c
2002,26754,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,39,Married,1172,Ballot c
2002,235707,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,36,Never married,1173,Ballot a
2002,53507,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20,54,Married,1174,Ballot c
2002,36482,36482,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,60,Married,1175,Ballot a
2002,80261,160197,Agree,At least 2 or 3 times in the past year,Not at all in the past year,2,Describes very well,2,3,15,36,Married,1176,Ballot a
2002,0,23105,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,68,Married,1177,Ballot b
2002,43779,80261,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,27,Divorced,1178,Ballot c
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,35,Separated,1179,Ballot b
2002,0,7296,Agree,Not at all in the past year,Not at all in the past year,Describes very well,3,Describes very well,Describes very well,12,52,Never married,1180,Ballot b
2002,0,43779,Strongly agree,More than once a week,Once a month,Does not describe very well,Describes very well,Does not describe very well,Describes very well,15,79,Widowed,1181,Ballot c
2002,65668,97286,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,45,Married,1182,Ballot b
2002,65668,65668,Agree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,2,4,Does not describe very well,Describes very well,20,56,Widowed,1183,Ballot a
2002,65668,65668,Neither agree nor disagree,At least 2 or 3 times in the past year,Once in the past year,2,4,2,4,19,33,Never married,1184,Ballot b
2002,0,18241,Neither agree nor disagree,Not at all in the past year,Not at all in the past year,Describes very well,Describes very well,Does not describe very well,Describes very well,8,52,Married,1185,Ballot c
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,44,Married,1186,Ballot a
2002,5351,80261,Strongly disagree,Once a week,Once a month,Does not describe very well,Describes very well,4,3,16,23,Never married,1187,Ballot a
2002,23105,160197,Agree,More than once a week,Not at all in the past year,Does not describe very well,4,Does not describe very well,4,16,51,Married,1188,Ballot b
2002,0,80261,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,62,Married,1189,Ballot a
2002,53507,53507,Agree,Once in the past year,Not at all in the past year,3,3,Does not describe very well,Describes very well,12,32,Never married,1190,Ballot a
2002,65668,97286,Agree,Once a month,Not at all in the past year,3,Describes very well,Does not describe very well,4,14,53,Married,1191,Ballot b
2002,0,4378,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,63,Divorced,1192,Ballot c
2002,0,8756,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,69,Widowed,1193,Ballot a
2002,7296,7296,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,60,Widowed,1194,Ballot b
2002,23105,23105,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20,52,Never married,1195,Ballot c
2002,0,7296,Strongly agree,Once in the past year,Not at all in the past year,Describes very well,Describes very well,Describes very well,Describes very well,9,35,Divorced,1196,Ballot c
2002,7296,23105,Agree,Not at all in the past year,Not at all in the past year,2,2,4,Describes very well,9,33,Never married,1197,Ballot a
2002,26754,26754,Neither agree nor disagree,Not at all in the past year,At least 2 or 3 times in the past year,Does not describe very well,4,3,Describes very well,14,21,Never married,1198,Ballot b
2002,0,13377,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,70,Married,1199,Ballot a
2002,0,10945,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,78,Widowed,1200,Ballot b
2002,0,486,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,81,Married,1201,Ballot c
2002,20673,20673,Agree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,4,2,3,12,63,Divorced,1202,Ballot a
2002,0,97286,Agree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,3,3,4,12,24,Never married,1203,Ballot b
2002,15809,15809,Strongly agree,Not at all in the past year,Not at all in the past year,Does not describe very well,4,4,Describes very well,14,33,Never married,1204,Ballot c
2002,0,97286,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,69,Married,1205,Ballot a
2002,0,7296,Agree,Not at all in the past year,Not at all in the past year,3,Describes very well,Does not describe very well,Describes very well,8,72,Widowed,1206,Ballot a
2002,0,0,Disagree,Not at all in the past year,Not at all in the past year,3,2,3,3,8,28,Separated,1207,Ballot b
2002,53507,53507,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,59,Married,1208,Ballot b
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,61,Married,1209,Ballot a
2002,23105,43779,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,45,Married,1210,Ballot b
2002,0,36482,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,32,Married,1211,Ballot a
2002,0,486,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,32,Never married,1212,Ballot b
2002,80261,80261,Disagree,Once a month,Not at all in the past year,4,Describes very well,Does not describe very well,Describes very well,13,37,Married,1213,Ballot a
2002,23105,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,28,Married,1214,Ballot a
2002,53507,80261,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,39,Married,1215,Ballot c
2002,0,160197,Neither agree nor disagree,At least 2 or 3 times in the past year,More than once a week,3,4,4,Describes very well,13,21,Never married,1216,Ballot a
2002,53507,97286,Strongly agree,Once a month,Once a month,3,3,2,3,15,31,Married,1217,Ballot b
2002,43779,43779,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,46,Divorced,1218,Ballot b
2002,26754,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,22,Never married,1219,Ballot c
2002,43779,65668,Agree,At least 2 or 3 times in the past year,Not at all in the past year,3,4,2,4,14,63,Married,1220,Ballot a
2002,53507,80261,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,19,40,Married,1221,Ballot b
2002,31618,53507,Disagree,Once a month,Once a month,2,Describes very well,Describes very well,Describes very well,14,34,Never married,1222,Ballot a
2002,26754,26754,Strongly agree,Not at all in the past year,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,13,41,Never married,1223,Ballot b
2002,31618,0,Agree,At least 2 or 3 times in the past year,More than once a week,Does not describe very well,Describes very well,Does not describe very well,Describes very well,15,40,Separated,1224,Ballot c
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9,62,Married,1225,Ballot a
2002,26754,43779,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6,49,Married,1226,Ballot b
2002,0,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,55,Married,1227,Ballot b
2002,20673,80261,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,54,Married,1228,Ballot c
2002,0,7296,Agree,At least 2 or 3 times in the past year,Once a month,2,Describes very well,3,Describes very well,11,81,Widowed,1229,Ballot a
2002,31618,53507,Disagree,At least 2 or 3 times in the past year,Once a week,Does not describe very well,Describes very well,4,Describes very well,2,50,Married,1230,Ballot a
2002,0,53507,Agree,At least 2 or 3 times in the past year,Once in the past year,2,4,Does not describe very well,4,14,34,Married,1231,Ballot b
2002,13377,160197,Neither agree nor disagree,Once a month,Not at all in the past year,2,2,2,4,16,74,Married,1232,Ballot c
2002,23105,23105,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,30,Divorced,1233,Ballot a
2002,23105,23105,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,46,Divorced,1234,Ballot c
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20,55,Married,1235,Ballot b
2002,97286,97286,Agree,Once a month,Once in the past year,2,Describes very well,2,4,18,36,Married,1236,Ballot b
2002,36482,36482,Neither agree nor disagree,At least 2 or 3 times in the past year,Once a month,Does not describe very well,Describes very well,Does not describe very well,Describes very well,15,24,Never married,1237,Ballot c
2002,0,6324,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,29,Never married,1238,Ballot b
2002,8756,8756,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,39,Divorced,1239,Ballot c
2002,23105,65668,Agree,At least 2 or 3 times in the past year,Not at all in the past year,3,4,3,4,12,38,Never married,1240,Ballot a
2002,43779,97286,Agree,At least 2 or 3 times in the past year,Once a month,2,4,2,4,16,47,Married,1241,Ballot b
2002,1946,31618,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,32,Married,1242,Ballot b
2002,7296,18241,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,21,Never married,1243,Ballot c
2002,53507,0,Neither agree nor disagree,Once in the past year,Not at all in the past year,4,4,3,3,16,42,Married,1244,Ballot c
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,30,Married,1245,Ballot a
2002,43779,80261,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,48,Married,1246,Ballot c
2002,0,0,Disagree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,Describes very well,Does not describe very well,Describes very well,Does not describe very well,15,34,Married,1247,Ballot a
2002,0,31618,Disagree,Once in the past year,Not at all in the past year,4,4,3,Describes very well,10,59,Married,1248,Ballot b
2002,0,0,Agree,At least 2 or 3 times in the past year,Once in the past year,No answer,No answer,No answer,No answer,16,72,Divorced,1249,Ballot c
2002,23105,43779,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,23,Married,1250,Ballot a
2002,43779,53507,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,41,Separated,1251,Ballot b
2002,18241,23105,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,39,Divorced,1252,Ballot c
2002,31618,43779,Strongly agree,Once a week,Once in the past year,Describes very well,Describes very well,Describes very well,Does not describe very well,15,26,Married,1253,Ballot c
2002,0,10945,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,23,Never married,1254,Ballot a
2002,36482,36482,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,52,Divorced,1255,Ballot b
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,46,Divorced,1256,Ballot c
2002,53507,80261,Disagree,Once a month,Once in the past year,2,Describes very well,Does not describe very well,Describes very well,18,31,Married,1257,Ballot a
2002,0,486,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,25,Never married,1258,Ballot b
2002,0,97286,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,39,Married,1259,Ballot c
2002,0,15809,Disagree,Not at all in the past year,Not at all in the past year,Does not describe very well,Describes very well,Describes very well,Describes very well,11,28,Never married,1260,Ballot a
2002,10945,10945,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,46,Divorced,1261,Ballot a
2002,13377,23105,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,48,Married,1262,Ballot b
2002,13377,13377,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,50,Divorced,1263,Ballot a
2002,31618,43779,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,29,Never married,1264,Ballot b
2002,26754,26754,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,30,Divorced,1265,Ballot c
2002,8756,8756,Strongly agree,At least 2 or 3 times in the past year,Once in the past year,4,Describes very well,Does not describe very well,Describes very well,12,33,Divorced,1266,Ballot a
2002,5351,5351,Agree,Not at all in the past year,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,14,52,Divorced,1267,Ballot b
2002,0,6324,Strongly agree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,Describes very well,Describes very well,Does not describe very well,Describes very well,5,83,Widowed,1268,Ballot c
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,57,Widowed,1269,Ballot a
2002,0,10945,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,36,Married,1270,Ballot b
2002,0,1946,Strongly agree,Once in the past year,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,Does not describe very well,11,29,Never married,1271,Ballot a
2002,0,13377,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,82,Widowed,1272,Ballot a
2002,36482,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,31,Married,1273,Ballot b
2002,31618,80261,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,39,Married,1274,Ballot c
2002,4378,7296,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,23,Never married,1275,Ballot b
2002,23105,31618,Agree,Not at all in the past year,Not at all in the past year,2,4,Does not describe very well,Describes very well,10,37,Never married,1276,Ballot a
2002,3405,15809,Strongly agree,Not at all in the past year,Not at all in the past year,2,Describes very well,2,3,9,31,Separated,1277,Ballot b
2002,65668,65668,Agree,At least 2 or 3 times in the past year,Once in the past year,Does not describe very well,Does not describe very well,Does not describe very well,Describes very well,12,50,Divorced,1278,Ballot c
2002,26754,26754,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,31,Never married,1279,Ballot a
2002,26754,26754,Neither agree nor disagree,Once in the past year,Once a week,Does not describe very well,Describes very well,Does not describe very well,3,12,27,Never married,1280,Ballot a
2002,26754,26754,Neither agree nor disagree,Once in the past year,Not at all in the past year,3,Does not describe very well,Describes very well,Does not describe very well,16,27,Never married,1281,Ballot c
2002,0,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,46,Married,1282,Ballot a
2002,0,160197,Neither agree nor disagree,Once a month,At least 2 or 3 times in the past year,2,4,4,3,17,25,Never married,1283,Ballot a
